N,Z,rate
56,32,191
57,32,24.8
58,32,8.15
59,32,1.77
60,32,0.473
61,32,0.0499
62,32,0.0143
63,32,0.00507
64,32,0.0018
65,32,0.000662
66,32,0.000232
67,32,7.71E-05
68,32,2.63E-05
70,32,3.12E-06
72,32,5.17E-07
74,32,1.51E-07
76,32,6.34E-08
78,32,2.84E-08
31,33,188000
32,33,5330000
33,33,1.67E+08
34,33,2.88E+09
35,33,2.32E+10
36,33,9.28E+10
37,33,1.98E+11
38,33,2.39E+11
39,33,1.59E+11
40,33,1.06E+11
41,33,1.30E+11
42,33,1.93E+11
43,33,2.40E+11
44,33,2.53E+11
45,33,2.23E+11
46,33,1.71E+11
47,33,1.11E+11
48,33,5.69E+10
49,33,8.23E+08
50,33,1.69E+08
51,33,2.45E+07
52,33,2.87E+07
53,33,5450000
54,33,1570000
55,33,106000
56,33,10300
57,33,758
58,33,109
59,33,19.9
60,33,4.01
61,33,0.892
62,33,0.138
63,33,0.0467
64,33,0.0164
65,33,0.00599
66,33,0.0021
67,33,0.000753
68,33,0.000259
69,33,7.86E-05
70,33,2.65E-05
71,33,8.53E-06
72,33,2.97E-06
73,33,1.11E-06
74,33,5.16E-07
76,33,1.66E-07
78,33,5.90E-08
80,33,2.00E-08
82,33,6.10E-09
29,34,5.85
30,34,165
31,34,4640
32,34,130000
33,34,3580000
34,34,1.10E+08
35,34,1.98E+09
36,34,1.74E+10
37,34,8.04E+10
38,34,2.07E+11
39,34,3.07E+11
40,34,2.35E+11
41,34,9.69E+10
42,34,1.31E+11
43,34,1.56E+11
44,34,1.98E+11
45,34,2.90E+11
46,34,3.84E+11
47,34,4.60E+11
48,34,9.59E+13
49,34,1.06E+10
50,34,3.21E+09
51,34,8.40E+07
52,34,1.51E+08
53,34,4.30E+07
54,34,1.87E+07
55,34,2480000
56,34,428000
57,34,41700
58,34,4550
59,34,614
60,34,60.1
61,34,9.18
62,34,2.43
63,34,0.831
64,34,0.133
65,34,0.0488
66,34,0.0166
67,34,0.00604
68,34,0.00211
69,34,0.000706
70,34,0.000233
71,34,7.05E-05
72,34,2.38E-05
73,34,7.72E-06
74,34,2.74E-06
76,34,5.36E-07
78,34,1.49E-07
80,34,4.27E-08
82,34,1.10E-08
33,35,79400
34,35,2020000
35,35,5.43E+07
36,35,1.03E+09
37,35,1.03E+10
38,35,5.91E+10
39,35,1.98E+11
40,35,3.84E+11
41,35,3.61E+11
42,35,1.31E+11
43,35,1.03E+11
44,35,1.56E+11
45,35,2.01E+11
46,35,2.20E+11
47,35,1.93E+11
48,35,1.49E+11
49,35,9.66E+10
50,35,4.96E+10
51,35,4.98E+08
52,35,3.46E+08
53,35,2.26E+08
54,35,1.54E+08
55,35,3.09E+07
56,35,1.11E+07
57,35,1430000
58,35,390000
59,35,55500
60,35,2580
61,35,195
62,35,23.1
63,35,6.47
64,35,2.22
65,35,0.736
66,35,0.143
67,35,0.0485
68,35,0.0172
69,35,0.00577
70,35,0.00193
71,35,0.000623
72,35,0.000198
73,35,6.01E-05
74,35,2.04E-05
75,35,7.14E-06
76,35,2.79E-06
77,35,1.20E-06
78,35,5.55E-07
79,35,2.55E-07
80,35,1.15E-07
81,35,4.86E-08
82,35,2.23E-08
83,35,1.13E-08
31,36,2.46
32,36,64.4
33,36,1610
34,36,37800
35,36,814000
36,36,1.58E+07
37,36,3.07E+08
38,36,3.85E+09
39,36,3.07E+10
40,36,1.56E+11
41,36,4.59E+11
42,36,8.95E+13
43,36,5.36E+10
44,36,7.34E+10
45,36,9.29E+10
46,36,1.58E+11
47,36,2.39E+11
48,36,3.17E+11
49,36,3.84E+11
50,36,9.07E+13
51,36,3.82E+09
52,36,1.37E+09
53,36,4.91E+08
54,36,3.80E+08
55,36,1.30E+08
56,36,5.61E+07
57,36,1.81E+07
58,36,8000000
59,36,2100000
60,36,193000
61,36,13400
62,36,715
63,36,71.1
64,36,14.6
65,36,5.08
66,36,1.1
67,36,0.368
68,36,0.126
69,36,0.0413
70,36,0.0137
71,36,0.00458
72,36,0.00153
73,36,0.000491
74,36,0.00016
75,36,5.44E-05
76,36,2.07E-05
77,36,7.86E-06
78,36,3.13E-06
79,36,1.24E-06
80,36,4.41E-07
81,36,1.48E-07
82,36,5.72E-08
83,36,2.35E-08
84,36,1.21E-08
35,37,3820
36,37,116000
37,37,3500000
38,37,1.12E+08
39,37,1.71E+09
40,37,1.25E+10
41,37,4.62E+10
42,37,9.20E+10
43,37,1.05E+11
44,37,7.14E+10
45,37,6.87E+10
46,37,8.64E+10
47,37,8.54E+10
48,37,6.99E+10
49,37,5.11E+10
50,37,3.24E+10
51,37,1.91E+10
52,37,1.00E+10
53,37,4.57E+09
54,37,1.74E+09
55,37,5.21E+08
56,37,2.25E+08
57,37,1.07E+08
58,37,8.65E+07
59,37,2.01E+07
60,37,6300000
61,37,400000
62,37,36600
63,37,3210
64,37,389
65,37,57.1
66,37,14.9
67,37,4.39
68,37,0.98
69,37,0.316
70,37,0.0995
71,37,0.0335
72,37,0.0112
73,37,0.0037
74,37,0.00128
75,37,0.000451
76,37,0.000167
77,37,6.26E-05
78,37,2.33E-05
79,37,8.52E-06
80,37,2.63E-06
81,37,7.18E-07
82,37,2.01E-07
83,37,6.26E-08
84,37,2.81E-08
33,38,0.098
34,38,2.84
35,38,84.5
36,38,2580
37,38,79000
38,38,2360000
39,38,7.73E+07
40,38,1.24E+09
41,38,9.76E+09
42,38,4.01E+10
43,38,9.11E+10
44,38,1.23E+11
45,38,9.76E+10
46,38,5.31E+10
47,38,8.17E+10
48,38,1.03E+11
49,38,1.07E+11
50,38,9.44E+10
51,38,7.20E+10
52,38,4.99E+10
53,38,3.05E+10
54,38,1.59E+10
55,38,6.73E+09
56,38,2.13E+09
57,38,2.54E+08
58,38,3.44E+08
59,38,1.18E+08
60,38,8.28E+07
61,38,4130000
62,38,1150000
63,38,50800
64,38,17200
65,38,2290
66,38,175
67,38,34.5
68,38,7.97
69,38,2.22
70,38,0.729
71,38,0.225
72,38,0.0754
73,38,0.0249
74,38,0.00888
75,38,0.00331
76,38,0.0013
77,38,0.000501
78,38,0.000183
79,38,6.18E-05
80,38,1.87E-05
81,38,4.55E-06
82,38,1.05E-06
84,38,8.94E-08
37,39,1660
38,39,48900
39,39,1420000
40,39,4.69E+07
41,39,7.94E+08
42,39,6.84E+09
43,39,3.19E+10
44,39,8.52E+10
45,39,1.38E+11
46,39,1.34E+11
47,39,7.99E+10
48,39,5.77E+10
49,39,9.11E+10
50,39,1.23E+11
51,39,1.46E+11
52,39,1.49E+11
53,39,1.26E+11
54,39,9.67E+10
55,39,6.31E+10
56,39,3.33E+10
57,39,5.93E+08
58,39,5.30E+08
59,39,5.70E+08
60,39,3.37E+08
61,39,8.15E+07
62,39,1.45E+07
63,39,4230000
64,39,704000
65,39,73600
66,39,9500
67,39,502
68,39,134
69,39,28.3
70,39,9.41
71,39,2.54
72,39,0.566
73,39,0.182
74,39,0.0638
75,39,0.0242
76,39,0.00927
77,39,0.00371
78,39,0.00135
79,39,0.000458
80,39,0.000134
81,39,3.19E-05
82,39,6.99E-06
84,39,4.51E-07
34,40,0.00132
35,40,0.0393
36,40,1.16
37,40,33.5
38,40,955
39,40,26800
40,40,735000
41,40,2.32E+07
42,40,4.16E+08
43,40,4.00E+09
44,40,2.20E+10
45,40,7.24E+10
46,40,1.47E+11
47,40,1.83E+11
48,40,1.22E+11
49,40,4.64E+10
50,40,4.73E+10
51,40,8.18E+10
52,40,1.27E+11
53,40,1.80E+11
54,40,2.28E+11
55,40,2.66E+11
56,40,6.99E+13
57,40,2.65E+09
58,40,5.96E+08
59,40,6.41E+08
60,40,8.38E+08
61,40,2.00E+08
62,40,6.74E+07
63,40,2.08E+07
64,40,1.47E+07
65,40,1800000
66,40,549000
67,40,27100
68,40,7590
69,40,252
70,40,75.7
71,40,14.7
72,40,4.18
73,40,1.26
74,40,0.432
75,40,0.161
76,40,0.0613
77,40,0.0247
78,40,0.00903
79,40,0.00313
80,40,0.000922
81,40,0.000226
82,40,5.07E-05
84,40,3.11E-06
86,40,2.47E-07
88,40,1.30E-08
39,41,479
40,41,12300
41,41,299000
42,41,7870000
43,41,1.52E+08
44,41,1.71E+09
45,41,1.18E+10
46,41,5.13E+10
47,41,1.42E+11
48,41,2.37E+11
49,41,1.93E+11
50,41,6.56E+10
51,41,1.99E+10
52,41,1.71E+10
53,41,1.20E+10
54,41,7.40E+09
55,41,4.06E+09
56,41,2.01E+09
57,41,1.06E+09
58,41,1.43E+09
59,41,1.03E+09
60,41,9.53E+08
61,41,4.05E+08
62,41,3.18E+08
63,41,1.28E+08
64,41,9.41E+07
65,41,1.97E+07
66,41,1.60E+07
67,41,1390000
68,41,484000
69,41,20600
70,41,4510
71,41,215
72,41,43.1
73,41,10.7
74,41,3.2
75,41,1.12
76,41,0.421
77,41,0.162
78,41,0.0599
79,41,0.0207
80,41,0.00621
81,41,0.00154
82,41,0.000358
83,41,8.33E-05
84,41,2.31E-05
85,41,6.70E-06
86,41,1.65E-06
88,41,6.68E-08
90,41,1.76E-09
92,41,3.64E-11
94,41,5.04E-12
36,42,0.000431
37,42,0.0118
38,42,0.313
39,42,7.93
40,42,189
41,42,4180
42,42,84800
43,42,1550000
44,42,3.40E+07
45,42,5.47E+08
46,42,4.43E+09
47,42,2.51E+10
48,42,1.09E+11
49,42,2.82E+11
50,42,6.53E+13
51,42,2.66E+10
52,42,1.97E+10
53,42,1.98E+10
54,42,1.55E+10
55,42,1.04E+10
56,42,6.20E+09
57,42,3.33E+09
58,42,1.63E+09
59,42,8.94E+08
60,42,1.13E+09
61,42,3.73E+08
62,42,9.89E+08
63,42,2.49E+08
64,42,2.63E+08
65,42,1.03E+08
66,42,1.12E+08
67,42,1.64E+07
68,42,1.38E+07
69,42,763000
70,42,297000
71,42,3430
72,42,1840
73,42,218
74,42,26
75,42,7.51
76,42,2.57
77,42,1
78,42,0.367
79,42,0.131
80,42,0.0395
81,42,0.0102
82,42,0.00242
83,42,0.000586
84,42,0.000165
85,42,4.84E-05
86,42,1.11E-05
88,42,4.05E-07
90,42,9.12E-09
92,42,1.37E-10
94,42,9.83E-12
96,42,5.22E-12
98,42,2.53E-12
42,43,621
43,43,20600
44,43,645000
45,43,2.14E+07
46,43,3.65E+08
47,43,3.20E+09
48,43,1.50E+10
49,43,3.94E+10
50,43,6.19E+10
51,43,5.97E+10
52,43,3.80E+10
53,43,1.82E+10
54,43,2.13E+10
55,43,1.90E+10
56,43,1.41E+10
57,43,9.16E+09
58,43,5.42E+09
59,43,2.96E+09
60,43,1.68E+09
61,43,1.32E+09
62,43,1.30E+09
63,43,6.02E+08
64,43,4.51E+08
65,43,2.99E+08
66,43,2.92E+08
67,43,1.88E+08
68,43,1.01E+08
69,43,3.86E+07
70,43,9960000
71,43,827000
72,43,224000
73,43,7870
74,43,1230
75,43,66.6
76,43,19.6
77,43,6.5
78,43,2.39
79,43,0.873
80,43,0.272
81,43,0.0702
82,43,0.0164
83,43,0.00401
84,43,0.00114
85,43,0.000325
86,43,7.74E-05
87,43,1.85E-05
88,43,2.66E-06
89,43,4.59E-07
90,43,5.39E-08
92,43,7.00E-10
