N,Z,rate
113,85,6.13E+08
114,85,8.38E+08
115,85,1.01E+09
116,85,1.09E+09
117,85,1.05E+09
118,85,9.28E+08
119,85,7.74E+08
120,85,6.17E+08
121,85,4.74E+08
122,85,3.53E+08
123,85,2.55E+08
124,85,1.80E+08
125,85,1.23E+08
126,85,8.26E+07
127,85,5.41E+07
128,85,3.45E+07
129,85,2.14E+07
130,85,1.30E+07
131,85,7550000
132,85,4250000
133,85,2290000
134,85,1180000
135,85,570000
136,85,259000
137,85,93500
138,85,34500
139,85,11400
140,85,3300
141,85,819
142,85,171
143,85,28.9
144,85,3.92
145,85,0.421
146,85,0.037
147,85,0.00058
148,85,3.55E-06
92,86,7.51E-15
93,86,5.21E-13
94,86,3.96E-11
95,86,2.48E-09
96,86,1.22E-07
97,86,4.58E-06
98,86,0.000132
99,86,0.00299
100,86,0.0545
101,86,0.816
102,86,10.3
103,86,111
104,86,1040
105,86,8370
106,86,56500
107,86,318000
108,86,1490000
109,86,5830000
110,86,1.91E+07
111,86,5.30E+07
112,86,1.25E+08
113,86,2.54E+08
114,86,4.46E+08
115,86,6.85E+08
116,86,9.32E+08
117,86,1.13E+09
118,86,1.24E+09
119,86,1.24E+09
120,86,1.13E+09
121,86,9.73E+08
122,86,8.06E+08
123,86,6.43E+08
124,86,4.98E+08
125,86,3.74E+08
126,86,2.74E+08
127,86,1.96E+08
128,86,1.36E+08
129,86,9.20E+07
130,86,6.05E+07
131,86,3.84E+07
132,86,2.36E+07
133,86,1.39E+07
134,86,7820000
135,86,4170000
136,86,2090000
137,86,976000
138,86,419000
139,86,140000
140,86,46400
141,86,13300
142,86,3240
143,86,648
144,86,103
145,86,12.9
146,86,1.24
147,86,0.0165
148,86,7.92E-05
99,87,1.48E-05
100,87,0.000423
101,87,0.00838
102,87,0.137
103,87,1.91
104,87,22.8
105,87,234
106,87,2030
107,87,14800
108,87,90400
109,87,463000
110,87,1990000
111,87,7210000
112,87,2.22E+07
113,87,5.85E+07
114,87,1.33E+08
115,87,2.63E+08
116,87,4.58E+08
117,87,7.04E+08
118,87,9.68E+08
119,87,1.20E+09
120,87,1.36E+09
121,87,1.42E+09
122,87,1.35E+09
123,87,1.22E+09
124,87,1.05E+09
125,87,8.80E+08
126,87,7.12E+08
127,87,5.59E+08
128,87,4.27E+08
129,87,3.17E+08
130,87,2.28E+08
131,87,1.60E+08
132,87,1.08E+08
133,87,7.02E+07
134,87,4.37E+07
135,87,2.60E+07
136,87,1.46E+07
137,87,7650000
138,87,3720000
139,87,1650000
140,87,661000
141,87,200000
142,87,58500
143,87,14200
144,87,2800
145,87,431
146,87,49.8
147,87,0.58
148,87,0.00206
94,88,1.06E-16
95,88,5.41E-15
96,88,3.81E-13
97,88,2.52E-11
98,88,1.35E-09
99,88,5.72E-08
100,88,1.89E-06
101,88,4.93E-05
102,88,0.00105
103,88,0.0185
104,88,0.275
105,88,3.48
106,88,37.6
107,88,344
108,88,2660
109,88,17400
110,88,113000
111,88,532000
112,88,2130000
113,88,7300000
114,88,2.15E+07
115,88,5.48E+07
116,88,1.22E+08
117,88,2.40E+08
118,88,4.18E+08
119,88,6.53E+08
120,88,9.22E+08
121,88,1.19E+09
122,88,1.41E+09
123,88,1.55E+09
124,88,1.58E+09
125,88,1.50E+09
126,88,1.37E+09
127,88,1.20E+09
128,88,1.02E+09
129,88,8.41E+08
130,88,6.73E+08
131,88,5.22E+08
132,88,3.93E+08
133,88,2.85E+08
134,88,1.99E+08
135,88,1.33E+08
136,88,8.45E+07
137,88,5.07E+07
138,88,2.85E+07
139,88,1.48E+07
140,88,6980000
141,88,2960000
142,88,1100000
143,88,300000
144,88,76200
145,88,15400
146,88,2360
147,88,25.2
148,88,0.0671
101,89,1.93E-07
102,89,5.48E-06
103,89,0.000126
104,89,0.00241
105,89,0.0386
106,89,0.525
107,89,6.06
108,89,59.6
109,89,497
110,89,3510
111,89,21000
112,89,107000
113,89,466000
114,89,1740000
115,89,5630000
116,89,1.58E+07
117,89,3.89E+07
118,89,8.46E+07
119,89,1.64E+08
120,89,2.87E+08
121,89,4.54E+08
122,89,7.80E+08
123,89,1.06E+09
124,89,1.32E+09
125,89,1.55E+09
126,89,1.71E+09
127,89,1.77E+09
128,89,1.73E+09
129,89,1.61E+09
130,89,1.45E+09
131,89,1.27E+09
132,89,1.07E+09
133,89,8.79E+08
134,89,6.97E+08
135,89,5.31E+08
136,89,3.88E+08
137,89,2.70E+08
138,89,1.78E+08
139,89,1.10E+08
140,89,6.25E+07
141,89,3.27E+07
142,89,1.53E+07
143,89,6280000
144,89,2210000
145,89,556000
146,89,124000
147,89,1270
148,89,2.81
99,90,1.52E-13
100,90,8.54E-12
101,90,3.98E-10
102,90,1.53E-08
103,90,4.68E-07
104,90,1.16E-05
105,90,0.000239
106,90,0.00408
107,90,0.0592
108,90,0.729
109,90,7.66
110,90,68.7
111,90,525
112,90,3430
113,90,19100
114,90,91700
115,90,379000
116,90,1350000
117,90,4230000
118,90,1.16E+07
119,90,2.84E+07
120,90,6.20E+07
121,90,1.22E+08
122,90,2.20E+08
123,90,3.62E+08
124,90,5.50E+08
125,90,7.78E+08
126,90,1.03E+09
127,90,1.28E+09
128,90,1.51E+09
129,90,1.69E+09
130,90,1.81E+09
131,90,1.83E+09
132,90,1.76E+09
133,90,1.64E+09
134,90,1.47E+09
135,90,1.51E+09
136,90,1.29E+09
137,90,1.05E+09
138,90,8.26E+08
139,90,6.15E+08
140,90,4.33E+08
141,90,2.84E+08
142,90,1.72E+08
143,90,9.47E+07
144,90,4.64E+07
145,90,1.97E+07
146,90,7070000
147,90,71300
148,90,146
105,91,6.61E-07
106,91,1.73E-05
107,91,0.000315
108,91,0.00483
109,91,0.0631
110,91,0.706
111,91,6.78
112,91,55.9
113,91,396
114,91,2400
115,91,12500
116,91,56600
117,91,222000
118,91,765000
119,91,2330000
120,91,6310000
121,91,1.54E+07
122,91,3.40E+07
123,91,6.88E+07
124,91,1.28E+08
125,91,2.21E+08
126,91,3.56E+08
127,91,5.39E+08
128,91,7.71E+08
129,91,1.05E+09
130,91,1.35E+09
131,91,1.67E+09
132,91,1.98E+09
133,91,2.25E+09
134,91,2.48E+09
135,91,2.61E+09
136,91,2.62E+09
137,91,2.54E+09
138,91,2.37E+09
139,91,2.14E+09
140,91,1.86E+09
141,91,1.54E+09
142,91,1.21E+09
143,91,8.99E+08
144,91,6.19E+08
145,91,3.93E+08
146,91,2.23E+08
147,91,2230000
148,91,4510
102,92,2.27E-14
103,92,1.02E-12
104,92,4.06E-11
105,92,1.43E-09
106,92,4.05E-08
107,92,9.34E-07
108,92,1.78E-05
109,92,0.000286
110,92,0.00392
111,92,0.0461
112,92,0.467
113,92,4.08
114,92,30.7
115,92,198
116,92,1100
117,92,5340
118,92,22500
119,92,83600
120,92,275000
121,92,813000
122,92,2160000
123,92,5250000
124,92,1.17E+07
125,92,2.40E+07
126,92,4.61E+07
127,92,8.27E+07
128,92,1.40E+08
129,92,2.25E+08
130,92,3.45E+08
131,92,5.05E+08
132,92,7.11E+08
133,92,9.66E+08
134,92,1.27E+09
135,92,1.62E+09
136,92,2.00E+09
137,92,2.42E+09
138,92,2.85E+09
139,92,3.26E+09
140,92,3.65E+09
141,92,4.00E+09
142,92,4.17E+09
143,92,4.21E+09
144,92,4.10E+09
145,92,3.86E+09
146,92,7.66E+12
147,92,3.92E+07
148,92,80500
109,93,3.67E-07
110,93,6.02E-06
111,93,8.44E-05
112,93,0.00102
113,93,0.0108
114,93,0.0986
115,93,0.781
116,93,5.36
117,93,31.9
118,93,165
119,93,749
120,93,3020
121,93,9130
122,93,24400
123,93,59500
124,93,133000
125,93,274000
126,93,528000
127,93,952000
128,93,1620000
129,93,2610000
130,93,4010000
131,93,5890000
132,93,8320000
133,93,1.13E+07
134,93,1.49E+07
135,93,1.91E+07
136,93,2.37E+07
137,93,2.87E+07
138,93,3.38E+07
139,93,3.88E+07
140,93,4.36E+07
141,93,4.77E+07
142,93,5.00E+07
143,93,5.05E+07
144,93,4.94E+07
145,93,4.66E+07
146,93,2300000
147,93,5040000
148,93,10300
106,94,2.42E-16
107,94,1.29E-14
108,94,5.46E-13
109,94,1.86E-11
110,94,5.12E-10
111,94,1.15E-08
112,94,2.12E-07
113,94,3.21E-06
114,94,4.01E-05
115,94,0.000486
116,94,0.00435
117,94,0.0331
118,94,0.216
119,94,1.23
120,94,6.09
121,94,19
122,94,51.1
123,94,125
124,94,281
125,94,582
126,94,1120
127,94,2040
128,94,3470
129,94,5620
130,94,8660
131,94,12800
132,94,18100
133,94,24800
134,94,32800
135,94,42100
136,94,52400
137,94,63600
138,94,75300
139,94,86900
140,94,98000
141,94,108000
142,94,113000
143,94,115000
144,94,113000
145,94,108000
146,94,5280
147,94,11400
148,94,2300
